Mesh,Mg Equilibration Time (years),c half axis (um),Temperature (C),K,,,,
an743_mesh,151904.2567,50,675,948.15,,0.00005,50,5.5102E+15
an743_mesh,23392.61008,50,725,998.15,,0.0001,100,2.2041E+16
an743_mesh,4306.40838,50,775,1048.15,,0.00025,250,1.3775E+17
an743_mesh,924.8862135,50,825,1098.15,,0.0005,500,5.5102E+17
an743_mesh,227.1181787,50,875,1148.15,,0.001,1000,1.826E+18
an743_mesh,62.70757834,50,925,1198.15,,0.002,2000,8.8163E+18
an743_mesh,19.19439241,50,975,1248.15,,0.004,4000,3.5265E+19
an743_mesh,6.436344996,50,1025,1298.15,,,,
an743_mesh,2.340491981,50,1075,1348.15,,,,
an743_mesh,0.914957165,50,1125,1398.15,,,,
an743_mesh,607617.0266,100,675,948.15,,,,
an743_mesh,93570.44031,100,725,998.15,,,,
an743_mesh,17225.63352,100,775,1048.15,,,,
an743_mesh,3699.544854,100,825,1098.15,,,,
an743_mesh,908.4727147,100,875,1148.15,,,,
an743_mesh,250.8303134,100,925,1198.15,,,,
an743_mesh,76.77756964,100,975,1248.15,,,,
an743_mesh,25.74537998,100,1025,1298.15,,,,
an743_mesh,9.361967924,100,1075,1348.15,,,,
an743_mesh,3.65982866,100,1125,1398.15,,,,
an743_mesh,3797606.416,250,675,948.15,,,,
an743_mesh,584815.252,250,725,998.15,,,,
an743_mesh,107660.2095,250,775,1048.15,,,,
an743_mesh,23122.15534,250,825,1098.15,,,,
an743_mesh,5677.954467,250,875,1148.15,,1624.077153,,
an743_mesh,1567.689458,250,925,1198.15,,,,
an743_mesh,479.8598103,250,975,1248.15,,,,
an743_mesh,160.9086249,250,1025,1298.15,,,,
an743_mesh,58.51229952,250,1075,1348.15,,,,
an743_mesh,22.87392913,250,1125,1398.15,,,,
an743_mesh,15190425.67,500,675,948.15,,,,
an743_mesh,2339261.008,500,725,998.15,,,,
an743_mesh,430640.838,500,775,1048.15,,,,
an743_mesh,92488.62135,500,825,1098.15,,,,
an743_mesh,22711.81787,500,875,1148.15,,,,
an743_mesh,6270.757834,500,925,1198.15,,,,
an743_mesh,1919.439241,500,975,1248.15,,,,
an743_mesh,643.6344996,500,1025,1298.15,,,,
an743_mesh,234.0491981,500,1075,1348.15,,,,
an743_mesh,91.49571651,500,1125,1398.15,,,,
an743_mesh,60761702.66,1000,675,948.15,,,,
an743_mesh,9357044.031,1000,725,998.15,,,,
an743_mesh,1722563.352,1000,775,1048.15,,,,
an743_mesh,369954.4854,1000,825,1098.15,,,,
an743_mesh,90847.27147,1000,875,1148.15,,,,
an743_mesh,90847.27147,1000,875,1148.15,,,,
an743_mesh,90847.27147,1000,875,1148.15,,,,
an743_mesh,25083.03134,1000,925,1198.15,,,,
an743_mesh,7677.756964,1000,975,1248.15,,,,
an743_mesh,2574.537998,1000,1025,1298.15,,,,
an743_mesh,936.1967924,1000,1075,1348.15,,,,
an743_mesh,365.982866,1000,1125,1398.15,,,,
an743_mesh,243046810.7,2000,675,948.15,,,,
an743_mesh,37428176.12,2000,725,998.15,,,,
an743_mesh,6890253.409,2000,775,1048.15,,,,
an743_mesh,1479817.942,2000,825,1098.15,,,,
an743_mesh,363389.0859,2000,875,1148.15,,,,
an743_mesh,100332.1253,2000,925,1198.15,,,,
an743_mesh,30711.02786,2000,975,1248.15,,,,
an743_mesh,10298.15199,2000,1025,1298.15,,,,
an743_mesh,3744.787169,2000,1075,1348.15,,,,
an743_mesh,1463.931464,2000,1125,1398.15,,,,
an743_mesh,972187242.6,4000,675,948.15,,,,
an743_mesh,149712704.5,4000,725,998.15,,,,
an743_mesh,27561013.63,4000,775,1048.15,,,,
an743_mesh,5919271.767,4000,825,1098.15,,,,
an743_mesh,1453556.343,4000,875,1148.15,,,,
an743_mesh,401328.5014,4000,925,1198.15,,,,
an743_mesh,122844.1114,4000,975,1248.15,,,,
an743_mesh,41192.60797,4000,1025,1298.15,,,,
an743_mesh,14979.14868,4000,1075,1348.15,,,,
an743_mesh,5855.725857,4000,1125,1398.15,,,,
