Mesh,Mg Equilibration Time (years),c half axis (um),Temperature (C),,,,,,,,
fsp656_mesh,40938.73584,50,675,948.15,,0.00005,50,1.485E+15,,1.9957E+24,
fsp656_mesh,6304.391369,50,725,998.15,,0.0001,100,5.94E+15,,5.94E+23,0.298
fsp656_mesh,1160.592329,50,775,1048.15,,0.00025,250,3.7125E+16,,,
fsp656_mesh,249.2601143,50,825,1098.15,,0.0005,500,1.485E+17,,,
fsp656_mesh,61.20915453,50,875,1148.15,,0.001,1000,5.94E+17,,,
fsp656_mesh,16.89991473,50,925,1198.15,,0.002,2000,2.376E+18,,,
fsp656_mesh,5.17295682,50,975,1248.15,,0.004,4000,9.504E+18,,,
fsp656_mesh,1.7346178,50,1025,1298.15,,,,,,,
fsp656_mesh,0.630770888,50,1075,1348.15,,,,,,,
fsp656_mesh,0.246584201,50,1125,1398.15,,,,,,,
fsp656_mesh,163754.9433,100,675,948.15,,,,,,,
fsp656_mesh,25217.56547,100,725,998.15,,,,,,,
fsp656_mesh,4642.369318,100,775,1048.15,,,,,,,
fsp656_mesh,997.0404571,100,825,1098.15,,,,,,,
fsp656_mesh,244.8366181,100,875,1148.15,,,,,,,
fsp656_mesh,67.59965892,100,925,1198.15,,,,,,,
fsp656_mesh,20.69182728,100,975,1248.15,,,,,,,
fsp656_mesh,6.938471201,100,1025,1298.15,,,,,,,
fsp656_mesh,2.523083554,100,1075,1348.15,,,,,,,
fsp656_mesh,0.986336802,100,1125,1398.15,,,,,,,
fsp656_mesh,1023468.396,250,675,948.15,,,,,,,
fsp656_mesh,157609.7842,250,725,998.15,,,,,,,
fsp656_mesh,29014.80824,250,775,1048.15,,,,,,,
fsp656_mesh,6231.502857,250,825,1098.15,,,,,,,
fsp656_mesh,1530.228863,250,875,1148.15,,,,,,,
fsp656_mesh,422.4978682,250,925,1198.15,,,,,,,
fsp656_mesh,129.3239205,250,975,1248.15,,,,,,,
fsp656_mesh,43.36544501,250,1025,1298.15,,,,,,,
fsp656_mesh,15.76927221,250,1075,1348.15,,,,,,,
fsp656_mesh,6.164605013,250,1125,1398.15,,,,,,,
fsp656_mesh,4093873.584,500,675,948.15,,,,,,,
fsp656_mesh,630439.1369,500,725,998.15,,,,,,,
fsp656_mesh,116059.2329,500,775,1048.15,,,,,,,
fsp656_mesh,24926.01143,500,825,1098.15,,,,,,,
fsp656_mesh,6120.915453,500,875,1148.15,,,,,,,
fsp656_mesh,1689.991473,500,925,1198.15,,,,,,,
fsp656_mesh,517.295682,500,975,1248.15,,,,,,,
fsp656_mesh,173.46178,500,1025,1298.15,,,,,,,
fsp656_mesh,63.07708885,500,1075,1348.15,,,,,,,
fsp656_mesh,24.65842005,500,1125,1398.15,,,,,,,
fsp656_mesh,16375494.33,1000,675,948.15,,,,,,,
fsp656_mesh,2521756.547,1000,725,998.15,,,,,,,
fsp656_mesh,464236.9318,1000,775,1048.15,,,,,,,
fsp656_mesh,99704.04571,1000,825,1098.15,,,,,,,
fsp656_mesh,24483.66181,1000,875,1148.15,,,,,,,
fsp656_mesh,6759.965892,1000,925,1198.15,,,,,,,
fsp656_mesh,2069.182728,1000,975,1248.15,,,,,,,
fsp656_mesh,693.8471201,1000,1025,1298.15,,,,,,,
fsp656_mesh,252.3083554,1000,1075,1348.15,,,,,,,
fsp656_mesh,98.63368021,1000,1125,1398.15,,,,,,,
fsp656_mesh,65501977.34,2000,675,948.15,,,,,,,
fsp656_mesh,10087026.19,2000,725,998.15,,,,,,,
fsp656_mesh,1856947.727,2000,775,1048.15,,,,,,,
fsp656_mesh,398816.1829,2000,825,1098.15,,,,,,,
fsp656_mesh,97934.64725,2000,875,1148.15,,,,,,,
fsp656_mesh,27039.86357,2000,925,1198.15,,,,,,,
fsp656_mesh,8276.730912,2000,975,1248.15,,,,,,,
fsp656_mesh,2775.388481,2000,1025,1298.15,,,,,,,
fsp656_mesh,1009.233422,2000,1075,1348.15,,,,,,,
fsp656_mesh,394.5347208,2000,1125,1398.15,,,,,,,
fsp656_mesh,262007909.4,4000,675,948.15,,,,,,,
fsp656_mesh,40348104.76,4000,725,998.15,,,,,,,
fsp656_mesh,7427790.909,4000,775,1048.15,,,,,,,
fsp656_mesh,1595264.731,4000,825,1098.15,,,,,,,
fsp656_mesh,391738.589,4000,875,1148.15,,,,,,,
fsp656_mesh,108159.4543,4000,925,1198.15,,,,,,,
fsp656_mesh,33106.92365,4000,975,1248.15,,,,,,,
fsp656_mesh,11101.55392,4000,1025,1298.15,,,,,,,
fsp656_mesh,4036.933686,4000,1075,1348.15,,,,,,,
fsp656_mesh,1578.138883,4000,1125,1398.15,,,,,,,
