,Distance,Mg_bf
0,0.0,325.1863180441297
1,5.40725,333.69948171754436
2,10.8238,337.32492444764466
3,16.3293,337.8790794440183
4,21.7374,319.4931134683462
5,27.1918,303.3650875186816
6,32.6083,308.2778002304952
7,38.0156,315.6657995141482
8,43.4321,302.70301770262347
9,48.8394,309.89470505690065
10,54.2475,308.3829471864187
11,59.7529,314.36736591472356
12,65.2162,312.0290159161221
13,70.6234,327.87959476045245
14,76.04,338.05580193685046
15,81.4472,341.6687566514083
16,86.8638,337.1470510386965
17,92.3608,337.74160717278266
18,97.7774,335.19662305599644
19,103.185,340.6132017897002
20,108.648,340.9897554168923
21,114.055,342.2681742180321
22,119.472,350.6468998874662
23,124.879,349.6375248405095
24,130.287,346.60788726391445
25,135.792,352.34661880838377
26,141.209,367.37266381680826
27,146.616,378.18758456858774
28,152.08,367.4639756422661
29,157.487,375.0968862205826
30,162.895,370.61346295692005
31,168.4,379.957068658007
32,173.817,358.45796587760594
33,179.224,349.10580333197646
34,184.687,354.20844059978066
35,190.095,360.8989223889767
36,195.511,360.98303750363766
37,200.929,353.4531993299513
38,206.327,376.90625416859035
39,211.832,334.1527029678511
40,217.249,290.98313418024645
41,222.656,290.98313418024645
42,228.119,323.2889311092509
43,233.526,344.5666909068564
44,238.934,357.6075483876839
45,244.44,352.61507254156817
46,249.856,365.34786742368794
47,255.264,361.4302831281954
48,260.68,349.1164654775959
49,266.087,349.1378961878939
50,271.551,357.8669926036436
51,276.968,358.25610465297933
52,282.366,363.81116247601494
53,287.872,374.90220592928443
54,293.288,379.2948877159084
55,298.695,375.39832090286
56,304.159,366.9928394959566
57,309.566,353.8791451499859
58,314.974,353.7367713758403
59,320.4,345.3587954708631
