Nested Sampling Global Log-Evidence           :   -0.462900034084757621E+02  +/-    0.107493699615768920E+00

Dim No.       Mean        Sigma
   1    0.911044826281308360E+03    0.418209551288146599E+02
   2    0.323638171690935962E+03    0.441059339268566752E+01
   3    0.174593577738742347E+02    0.190090650165871478E+01
   4   -0.378262656646601556E+02    0.269990520538576151E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.850248172582475718E+03
   2    0.325186318044129678E+03
   3    0.212312165907981552E+02
   4   -0.377185211256517618E+02

MAP Parameters
Dim No.        Parameter
   1    0.850248172582475718E+03
   2    0.325186318044129678E+03
   3    0.212312165907981552E+02
   4   -0.377185211256517618E+02
