Nested Sampling Global Log-Evidence           :   -0.684882866159217230E+02  +/-    0.211817291614537440E+00

Dim No.       Mean        Sigma
   1    0.736217142171290561E+03    0.172563579802584641E+02
   2    0.300826343208519177E+03    0.321376013145762274E+01
   3    0.115022738606876338E+02    0.141290946877530188E+01
   4   -0.235987635170188099E+02    0.156980266366951104E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.721888453067435648E+03
   2    0.300622857265234302E+03
   3    0.959471236396262483E+01
   4   -0.205191293021860872E+02

MAP Parameters
Dim No.        Parameter
   1    0.721888453067435648E+03
   2    0.300622857265234302E+03
   3    0.959471236396262483E+01
   4   -0.205191293021860872E+02
